,Balcony,Club House,Garden View,Lux_Revo,MTR nearby,Mountain View,River View,Rooftop,Sea View,Shopping Mall nearby,Swimming,Terrace,bedroom_amount,building,car_parking,floor_level,link,location,net_area,price,price_per,Garden view
10937,,,,,1,,,,,,1,,3.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Po-Lam-Serenity-Place-Block-5-High-Floor-Flat-A-H200130080,Po Lam,654,8280000,12661.0,1
10938,1,1,,,,,,,,1,1,,3.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Mei-Foo-Mei-Foo-Sun-Chuen-Phase-II-Glee-Path-17-High-Floor-Flat-D-H200158533,Mei Foo,705,9000000,12766.0,
10939,,,,,,1,,,,,,,,,,H,https://www.hkp.com.hk/en/property/Kowloon-Lohas-Park-Lohas-Park-Malibu-Tower-2B-High-Floor-Flat-D-H200174832,Lohas Park,547,9800000,17916.0,
10940,,1,,,,1,,1,,,1,,2.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Kowloon-Bay-Jade-Field-Garden-Ka-Lai-Mansion-High-Floor-Flat-F-H200203491,Kowloon Bay,403,5680000,14094.0,
10941,,,,,,1,,,,,,,2.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Diamond-Hill-San-Po-Kong-Ngau-Chi-Wan-Scenic-View-Block-1-High-Floor-Flat-F-H200203573,San Po Kong,464,8600000,18534.0,
10942,,1,,,,,,,,,1,,1.0,,,,https://www.hkp.com.hk/en/property/Kowloon-Diamond-Hill-San-Po-Kong-Ngau-Chi-Wan-Man-Po-Building-Flat-A-H200203584,San Po Kong,250,3600000,14400.0,
10943,,,,,,,,,,1,,,2.0,,,L,https://www.hkp.com.hk/en/property/Kowloon-Kwun-Tong-Lam-Tin-Yau-Tong-Laguna-City-Phase-1-Block-14-Low-Floor-Flat-B-H200203588,Lam Tin,517,7200000,13926.0,
10944,1,1,,,,,,,,,1,,2.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Tseung-Kwan-O-Town-Centre-Tseung-Kwan-O-Plaza-Phase-2-Block-6-High-Floor-Flat-A-H200203595,Tseung Kwan O Town Centre,459,8280000,18039.0,
10945,,1,,,,,,,,,1,,,,,H,https://www.hkp.com.hk/en/property/Kowloon-Kwun-Tong-Lam-Tin-Yau-Tong-Grand-Central-Phase-II-Tower-5-High-Floor-Flat-D-H200203629,Lam Tin,594,13900000,23401.0,
10946,1,,,,,,,,,,1,,,,,M,https://www.hkp.com.hk/en/property/Kowloon-Hang-Hau-Residence-Oasis-Block-7-Middle-Floor-Flat-C-H200203685,Hang Hau,487,8880000,18234.0,
10947,,,,,,,,,,,,,,,,M,https://www.hkp.com.hk/en/property/New-Territories-Sham-Tseng-Tsing-Lung-Tau-Bellagio-Phase-3-Block-3-Middle-Floor-Flat-E-H300203622,Tsing Lung Tau,575,8280000,14400.0,
10948,,,,,,,,,,,,,2.0,,,M,https://www.hkp.com.hk/en/property/Hong-Kong-Island-Sheung-Wan-Central-Villa-Serene-Middle-Floor-Flat-A-H100113535,Central,333,7250000,21772.0,
10949,1,,,,,,,,,,,,3.0,,,L,https://www.hkp.com.hk/en/property/Hong-Kong-Island-North-Point-North-Point-Mid-Levels-King-s-Way-Mansion-Low-Floor-Flat-C-H100178603,North Point Mid-Levels,620,9500000,15323.0,
10950,,,,,,,,,,,,,3.0,,,H,https://www.hkp.com.hk/en/property/Hong-Kong-Island-North-Point-North-Point-Mid-Levels-Cornwall-Court-High-Floor-Flat-A-H100203499,North Point Mid-Levels,926,18500000,19978.0,
10951,1,1,,,,,,,,,1,,3.0,,,M,https://www.hkp.com.hk/en/property/Hong-Kong-Island-Aberdeen-Wong-Chuk-Hang-Ap-Lei-Chau-Broadview-Court-Block-4-Middle-Floor-Flat-D-H100203563,Wong Chuk Hang,576,0,0.0,
10952,,,,,,,,,,,,,1.0,,,L,https://www.hkp.com.hk/en/property/Kowloon-Kowloon-Station-The-Coronation-Block-7-Low-Floor-Flat-D-H200021310,Kowloon Station,453,9000000,19868.0,
10953,,,,,,,,,,1,,,2.0,,,M,https://www.hkp.com.hk/en/property/Kowloon-Tsim-Sha-Tsui-Po-Lok-Mansion-Middle-Floor-Flat-C-H200021897,Tsim Sha Tsui,396,6000000,15152.0,
10954,,1,,,,,,1,,,1,,,,,H,https://www.hkp.com.hk/en/property/Kowloon-Tseung-Kwan-O-Town-Centre-Tseung-Kwan-O-Plaza-Phase-2-Block-7-High-Floor-Flat-C-H200033800,Tseung Kwan O Town Centre,728,12500000,17170.0,
10955,1,1,,,,,,,,,,,3.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Yau-Yat-Chuen-Shek-Kip-Mei-Parc-Oasis-Block-22-High-Floor-Flat-F-H200146990,Shek Kip Mei,561,13900000,24777.0,
10956,,,,,,,,,,1,,,1.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Tai-Kok-Tsui-Park-Ivy-High-Floor-Flat-C-H200158380,Tai Kok Tsui,321,6200000,19315.0,1
10957,,,,,,,,,,,,,3.0,,,L,https://www.hkp.com.hk/en/property/Kowloon-Kowloon-Station-The-Waterfront-Phase-1-Block-2-Low-Floor-Flat-B-H200159249,Kowloon Station,931,21500000,23093.0,
10958,,1,,,,,,,,,1,,3.0,,,,https://www.hkp.com.hk/en/property/Kowloon-Kowloon-Tong-Beacon-Hill-Kowloon-Tong-Court-Flat-A3-H200162192,Beacon Hill,978,19980000,20429.0,
10959,,1,,,,1,,,,,1,,,,,M,https://www.hkp.com.hk/en/property/Kowloon-Tiu-Keng-Leng-Ocean-Shores-Phase-2-Block-07-Middle-Floor-Flat-A-H200162193,Tiu Keng Leng,639,11000000,17214.0,
10960,,,,,,,,,,1,,,3.0,,,M,https://www.hkp.com.hk/en/property/Kowloon-Kwun-Tong-Lam-Tin-Yau-Tong-Sceneway-Garden-Block-11-Middle-Floor-Flat-B-H200181503,Lam Tin,612,9500000,15523.0,
10961,,,,,,,,,,1,,,2.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Po-Lam-Metro-City-Phase-1-Block-03-High-Floor-Flat-H-H200196446,Po Lam,526,8180000,15551.0,
10962,,,,,,,,,,,,,2.0,,,L,https://www.hkp.com.hk/en/property/Kowloon-Po-Lam-Metro-City-Phase-2-Block-07-Low-Floor-Flat-F-H200197823,Po Lam,363,6500000,17906.0,
10963,1,1,,,,,,,,1,1,,3.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Tsim-Sha-Tsui-Ho-On-Mansion-High-Floor-Flat-C-H200201214,Tsim Sha Tsui,602,11000000,18272.0,
